signalosome complex	7	0.173697	7	0.0353018	4.9	0.0000048	0.0000048	*
N-methyl-D-aspartate selective glutamate receptor complex	4	0.099256	4	0.0201725	4.9	0.0009118	0.0009118	*
sodium/potassium-exchanging ATPase complex	4	0.099256	4	0.0201725	4.9	0.0009118	0.0009118	*
6-phosphofructokinase complex	3	0.074442	3	0.0151294	4.9	0.0052485	0.0052485	*
cytosolic small ribosomal subunit (sensueukarya)	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
glycine cleavage complex	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
Golgi medial cisterna	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
Golgi vesicle	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
kinetochore	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
proteasome complex (sensu Eukarya)	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
protein kinase CK2 complex	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
rough endoplasmic reticulum	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
spectrin	2	0.049628	2	0.0100862	4.9	0.0302073	0.0302073	*
calcium/calmodulin-dependentprotein kinasecomplex	6	0.148883	7	0.0353018	4.2	0.0001638	0.0001638	*
stress fiber	5	0.124069	6	0.0302587	4.1	0.0008126	0.0008126	*
synaptic vesicle membrane	8	0.198511	10	0.0504312	3.9	0.0000267	0.0000267	*
cytoplasmic dynein complex	4	0.099256	5	0.0252156	3.9	0.0039253	0.0039253	*
ER-Golgi intermediate compartment	4	0.099256	5	0.0252156	3.9	0.0039253	0.0039253	*
presynaptic membrane	11	0.272953	14	0.0706037	3.9	0.0000009	0.0000009	*
growth cone	15	0.372208	20	0.1008624	3.7	0.0000000	0.0000000	*
clathrin coat of coated pit	3	0.074442	4	0.0201725	3.7	0.0182589	0.0182589	*
oligosaccharyl transferase complex	3	0.074442	4	0.0201725	3.7	0.0182589	0.0182589	*
vacuole	3	0.074442	4	0.0201725	3.7	0.0182589	0.0182589	*
ruffles	5	0.124069	7	0.0353018	3.5	0.0024346	0.0024346	*
intracellular/cytoplasm	691	17.146402	4373	22.0535579	3.5	0.0021401	0.9990385	
hemoglobin complex	7	0.173697	10	0.0504312	3.4	0.0003500	0.0003500	*
mitochondrial matrix	9	0.223325	13	0.0655605	3.4	0.0000522	0.0000522	*
synapse	60	1.488834	87	0.4387513	3.4	0.0000000	0.0000000	*
synaptosome	19	0.471464	28	0.1412073	3.3	0.0000000	0.0000000	*
eukaryotic translation initiation factor 2B complex	8	0.198511	12	0.0605174	3.3	0.0002104	0.0002104	*
nuclear matrix	4	0.099256	6	0.0302587	3.3	0.0101508	0.0101508	*
alpha-ketoglutarate dehydrogenase complex (sensueukarya)	2	0.049628	3	0.0151294	3.3	0.0801248	0.0801248	
sarcolemma	2	0.049628	3	0.0151294	3.3	0.0801248	0.0801248	
focal adhesion	7	0.173697	11	0.0554743	3.1	0.0008176	0.0008176	*
perinuclear region	12	0.297767	19	0.0958193	3.1	0.0000112	0.0000112	*
early endosome	5	0.124069	8	0.0403449	3.1	0.0055620	0.0055620	*
protein phosphatase type 2A complex	13	0.322581	21	0.1059055	3.0	0.0000065	0.0000065	*
neuronal cell projection	6	0.1488834	10	0.0504312	3.0	0.0030430	0.0030430	*
GPI-anchor transamidase complex	3	0.074442	5	0.0252156	3.0	0.0397591	0.0397591	*
intercellular junction	3	0.074442	5	0.0252156	3.0	0.0397591	0.0397591	*
late endosome	3	0.074442	5	0.0252156	3.0	0.0397591	0.0397591	*
zymogen granule membrane	3	0.074442	5	0.0252156	3.0	0.0397591	0.0397591	*
chylomicron	4	0.099256	7	0.0353018	2.8	0.0204389	0.0204389	*
glycerol-3-phosphatedehydrogenasecomplex	4	0.099256	7	0.0353018	2.8	0.0204389	0.0204389	*
lamellipodium	4	0.099256	7	0.0353018	2.8	0.0204389	0.0204389	*
cell body	9	0.223325	16	0.0806899	2.8	0.0005050	0.0005050	*
mitochondrial electron transport chain	9	0.223325	17	0.0857330	2.6	0.0009078	0.0009078	*
mitochondrial outer membrane	13	0.322581	25	0.1260780	2.6	0.0000834	0.0000834	*
mitochondrion	192	4.764268	376	1.8962126	2.5	0.0000000	0.0000000	*
axon	8	0.198511	16	0.0806899	2.5	0.0028256	0.0028256	*
external side of plasma membrane	5	0.124069	10	0.0504312	2.5	0.0184182	0.0184182	*
ionotropic glutamate receptor complex	4	0.099256	8	0.0403449	2.5	0.0353158	0.0353158	*
mitochondrial intermembrane space protein transporter complex	4	0.099256	8	0.0403449	2.5	0.0353158	0.0353158	*
lysosomal membrane	3	0.074442	6	0.0302587	2.5	0.0693675	0.0693675	
integral to membrane of membrane fraction	2	0.049628	4	0.0201725	2.5	0.1419908	0.1419908	
integral to peroxisomal membrane	2	0.049628	4	0.0201725	2.5	0.1419908	0.1419908	
spindle	2	0.049628	4	0.0201725	2.5	0.1419908	0.1419908	
intermediate filament	29	0.719603	62	0.3126734	2.3	0.0000001	0.0000001	*
clathrin coat oftrans-Golgi network vesicle	9	0.223325	20	0.1008624	2.2	0.0038076	0.0038076	*
heterotrimeric G-protein complex	13	0.322581	29	0.1462504	2.2	0.0005458	0.0005458	*
microtubule cytoskeleton	60	1.488834	134	0.6757779	2.2	0.0000000	0.0000000	*
secretorygranule	8	0.198511	18	0.0907761	2.2	0.0069251	0.0069251	*
Golgi apparatus	23	0.570720	52	0.2622422	2.2	0.0000060	0.0000060	*
proteasome core complex (sensu Eukarya)	15	0.372208	34	0.1714660	2.2	0.0002569	0.0002569	*
dendrite	11	0.272953	25	0.1260780	2.2	0.0017509	0.0017509	*
synaptic vesicle	20	0.496278	46	0.2319835	2.1	0.0000326	0.0000326	*
clathrin vesicle coat	9	0.223325	21	0.1059055	2.1	0.0056469	0.0056469	*
centrosome	5	0.124069	12	0.0605174	2.1	0.0427530	0.0427530	*
endoplasmic reticulum lumen	4	0.099256	10	0.0504312	2.0	0.0793613	0.0793613	
COPI vesicle coat	2	0.049628	5	0.0252156	2.0	0.2101453	0.2101453	
Golgi cis-face	2	0.049628	5	0.0252156	2.0	0.2101453	0.2101453	
mitochondrial ribosome	2	0.049628	5	0.0252156	2.0	0.2101453	0.2101453	
